alvo,h,subida_rapida,cobertura,n,n_com_faixa,margem_cm
Encantado,6,False,0.8530655391120507,946,946,31.597537024981037
Encantado,6,True,1.0,37,37,165.17350344875945
Encantado,9,False,0.8727465535524921,943,943,52.93118977299888
Encantado,9,True,0.8918918918918919,37,37,185.25563749387356
Encantado,12,False,0.8723404255319149,940,940,71.84116598712512
Encantado,12,True,0.8108108108108109,37,37,197.41362710729254
Estrela,6,False,0.8319502074688797,964,964,32.121291011676476
Estrela,6,True,,27,0,
Estrela,9,False,0.8605619146722164,961,961,51.61761728437273
Estrela,9,True,,27,0,
Estrela,12,False,0.8778705636743215,958,958,73.6515033433925
Estrela,12,True,,27,0,
Muçum,6,False,0.8854961832061069,917,917,46.590020095130626
Muçum,6,True,0.8947368421052632,38,38,165.93168677270057
Muçum,9,False,0.8894967177242888,914,914,77.68927731975668
Muçum,9,True,0.7894736842105263,38,38,174.7550628338912
Muçum,12,False,0.9001097694840834,911,911,107.76471073606507
Muçum,12,True,0.7894736842105263,38,38,186.9542863020406
