particao,alvo,h,regime,MAE_novo_cm,MAE_anterior_cm,ganho_pct
calibracao,Encantado,6,alto,30.02895513279616,45.52803805861348,34.04294054108716
calibracao,Encantado,6,descida,19.439814169160766,35.46345902875331,45.18353623260716
calibracao,Encantado,6,rapida,46.46382847673567,79.43597837610045,41.50782878666597
calibracao,Encantado,6,subida,45.48428782293296,61.429184537445174,25.956549536796693
calibracao,Encantado,6,todos,14.365618623287778,29.10052442372044,50.63450261543031
calibracao,Encantado,9,alto,45.52749198671764,45.52749198671764,0.0
calibracao,Encantado,9,descida,34.74868957325851,34.74868957325851,0.0
calibracao,Encantado,9,rapida,63.463431814381615,63.463431814381615,0.0
calibracao,Encantado,9,subida,61.18271127901809,61.18271127901809,0.0
calibracao,Encantado,9,todos,26.580176566787706,26.580176566787706,0.0
calibracao,Encantado,12,alto,77.16890869880854,77.16890869880854,0.0
calibracao,Encantado,12,descida,50.59862843844794,50.59862843844794,0.0
calibracao,Encantado,12,rapida,76.31888418404247,76.31888418404247,0.0
calibracao,Encantado,12,subida,104.65746799541051,104.65746799541051,0.0
calibracao,Encantado,12,todos,37.89375877765873,37.89375877765873,0.0
calibracao,Estrela,6,alto,25.6122235319799,25.6122235319799,0.0
calibracao,Estrela,6,descida,22.13926771665792,22.13926771665792,0.0
calibracao,Estrela,6,rapida,39.71248107080699,39.71248107080699,0.0
calibracao,Estrela,6,subida,30.30106458693613,30.30106458693613,0.0
calibracao,Estrela,6,todos,14.883844485590359,14.883844485590359,0.0
calibracao,Estrela,9,alto,40.97094303875203,40.97094303875203,0.0
calibracao,Estrela,9,descida,36.14382797501903,36.14382797501903,0.0
calibracao,Estrela,9,rapida,54.64231522599292,54.64231522599292,0.0
calibracao,Estrela,9,subida,47.392155981649296,47.392155981649296,0.0
calibracao,Estrela,9,todos,24.15093042406567,24.15093042406567,0.0
calibracao,Estrela,12,alto,64.43323661133776,64.43323661133776,0.0
calibracao,Estrela,12,descida,49.07472534410137,49.07472534410137,0.0
calibracao,Estrela,12,rapida,76.6354235782003,76.6354235782003,0.0
calibracao,Estrela,12,subida,75.8523101231844,75.8523101231844,0.0
calibracao,Estrela,12,todos,35.48892278002019,35.48892278002019,0.0
calibracao,Muçum,6,alto,28.056751093928614,28.056751093928614,0.0
calibracao,Muçum,6,descida,21.665873202327955,21.665873202327955,0.0
calibracao,Muçum,6,rapida,73.17273971295559,73.17273971295559,0.0
calibracao,Muçum,6,subida,41.68140915232974,41.68140915232974,0.0
calibracao,Muçum,6,todos,22.058806368236215,22.058806368236215,0.0
calibracao,Muçum,9,alto,46.8735177999773,46.8735177999773,0.0
calibracao,Muçum,9,descida,37.12098603089565,37.12098603089565,0.0
calibracao,Muçum,9,rapida,82.70534897239013,82.70534897239013,0.0
calibracao,Muçum,9,subida,65.44382285150574,65.44382285150574,0.0
calibracao,Muçum,9,todos,36.78252225585346,36.78252225585346,0.0
calibracao,Muçum,12,alto,57.70645267566789,57.70645267566789,0.0
calibracao,Muçum,12,descida,48.018803193809845,48.018803193809845,0.0
calibracao,Muçum,12,rapida,71.61483312837716,71.61483312837716,0.0
calibracao,Muçum,12,subida,76.9692504427013,76.9692504427013,0.0
calibracao,Muçum,12,todos,50.17143252642943,50.17143252642943,0.0
desenvolvimento,Encantado,6,alto,42.26327227600092,44.935650408624085,5.947122403529914
desenvolvimento,Encantado,6,descida,56.662005973563154,61.53291115016211,7.915934880298803
desenvolvimento,Encantado,6,rapida,65.58866590133938,76.5163821180254,14.2815380369529
desenvolvimento,Encantado,6,subida,52.43745902642388,55.20726562526221,5.017105207925566
desenvolvimento,Encantado,6,todos,17.17031231601017,18.888677336873634,9.097328469415643
desenvolvimento,Encantado,9,alto,72.99816075271413,72.99816075271413,0.0
