codigo,alvo,evento,particao,h,motor,ajuste,n,mae_cm,vies_cm,max_erro_cm,regime
86510000,Muçum,ev20230506,desenvolvimento,6,gbm_delta,integral_12h,275,12.381357760101082,-0.03206875052650792,75.54481111014138,todos
86510000,Muçum,ev20230506,desenvolvimento,6,gbm_delta,integral_6h,275,14.414291767475476,-0.0176912164833075,72.61209275286458,todos
86510000,Muçum,ev20230506,desenvolvimento,6,gbm_delta,meio_12h,275,11.160368353863182,0.402587060525509,78.07573791723897,todos
86510000,Muçum,ev20230506,desenvolvimento,6,gbm_delta,meio_6h,275,11.948777920153512,0.4097758275471106,76.60937873860058,todos
86510000,Muçum,ev20230506,desenvolvimento,6,gbm_delta,original,275,10.742502007797338,0.8372428715775264,80.60666472433655,todos
86510000,Muçum,ev20230506,desenvolvimento,6,gbm_postos,integral_12h,275,13.431266879333426,-0.07882901043762765,79.85228114546217,todos
86510000,Muçum,ev20230506,desenvolvimento,6,gbm_postos,integral_6h,275,15.637302736390689,-0.04115456748883466,77.40488032128118,todos
86510000,Muçum,ev20230506,desenvolvimento,6,gbm_postos,meio_12h,275,11.9409536655641,0.2673891909777346,82.48263151901955,todos
86510000,Muçum,ev20230506,desenvolvimento,6,gbm_postos,meio_6h,275,12.866579249303308,0.2862264124521296,81.25893110692903,todos
86510000,Muçum,ev20230506,desenvolvimento,6,gbm_postos,original,275,11.422259585569098,0.6136073923930965,85.1129818925769,todos
86510000,Muçum,ev20230506,desenvolvimento,6,ridge_montante,integral_12h,275,23.869003867087642,-0.015338333360450943,111.23453621959221,todos
86510000,Muçum,ev20230506,desenvolvimento,6,ridge_montante,integral_6h,275,28.824633669233986,0.10044300191079705,113.42003945173359,todos
86510000,Muçum,ev20230506,desenvolvimento,6,ridge_montante,meio_12h,275,21.710285153266657,0.3344907457609634,101.4898344817103,todos
86510000,Muçum,ev20230506,desenvolvimento,6,ridge_montante,meio_6h,275,24.01260273446226,0.39238141339658783,102.58258609778099,todos
