emissao,tipo,alvo,codigo,motor,h,t_ref_utc,emitido_em_utc,valido_para_utc,antecedencia_real_h,previsto_cm,corrigido_cm,observado_cm,erro_cm,erro_corrigido_cm,status
18h original,emissao,Encantado,86720000,linear,3,2026-09-21 21:00:00+00:00,2026-09-21 22:07:00+00:00,2026-09-22 00:00:00+00:00,1.8833333333333333,1318.3046838740665,1415.870380517008,1313.0,5.304683874066541,102.87038051700802,conferido
18h original,emissao,Encantado,86720000,linear,6,2026-09-21 21:00:00+00:00,2026-09-21 22:07:00+00:00,2026-09-22 03:00:00+00:00,4.883333333333334,1438.8405395331022,1648.7422582753845,1453.0,-14.159460466897826,195.74225827538453,conferido
18h original,emissao,Encantado,86720000,gbm,12,2026-09-21 16:00:00+00:00,2026-09-21 22:07:00+00:00,2026-09-22 04:00:00+00:00,5.883333333333334,1499.8341974226837,2121.7355438137433,1528.0,-28.1658025773163,593.7355438137433,conferido
18h original,emissao,Encantado,86720000,gbm,24,2026-09-21 16:00:00+00:00,2026-09-21 22:07:00+00:00,2026-09-22 16:00:00+00:00,17.883333333333333,1475.4681840152994,,,,,pendente
18h original,emissao,Estrela,86879300,linear,3,2026-09-21 21:00:00+00:00,2026-09-21 22:07:00+00:00,2026-09-22 00:00:00+00:00,1.8833333333333333,1967.1357145340733,1991.4651318940155,1989.0,-21.86428546592674,2.465131894015485,conferido
18h original,emissao,Estrela,86879300,linear,6,2026-09-21 21:00:00+00:00,2026-09-21 22:07:00+00:00,2026-09-22 03:00:00+00:00,4.883333333333334,2162.5165396638067,2259.557845067651,2181.0,-18.483460336193275,78.55784506765121,conferido
18h original,emissao,Estrela,86879300,gbm,12,2026-09-21 16:00:00+00:00,2026-09-21 22:07:00+00:00,2026-09-22 04:00:00+00:00,5.883333333333334,2131.9930583065,2413.468768940386,2225.0,-93.00694169349981,188.46876894038587,conferido
18h original,emissao,Estrela,86879300,gbm,24,2026-09-21 16:00:00+00:00,2026-09-21 22:07:00+00:00,2026-09-22 16:00:00+00:00,17.883333333333333,2224.97098459892,,,,,pendente
18h original,emissao,Muçum,86510000,linear,3,2026-09-21 21:00:00+00:00,2026-09-21 22:07:00+00:00,2026-09-22 00:00:00+00:00,1.8833333333333333,1594.083954385606,1728.2149712134012,1585.0,9.08395438560592,143.2149712134012,conferido
18h original,emissao,Muçum,86510000,linear,6,2026-09-21 21:00:00+00:00,2026-09-21 22:07:00+00:00,2026-09-22 03:00:00+00:00,4.883333333333334,1727.2843327689363,2094.717963718348,1759.0,-31.715667231063662,335.7179637183481,conferido
